	EffectiveMass
0	3.0062866306305036
1	3.0062125301361187
2	3.0062818527221777
3	3.0062885856628516
4	3.0062456798553576
5	3.0062716770172218
6	3.0062617397308458
7	3.0062534999847514
8	3.0062917613983258
9	3.0062887859344585
10	3.006258077621471
11	3.0062961673736677
12	3.006282253265391
13	3.006231698989878
14	3.0062888813018898
15	3.00628812789918
16	3.0062694263458356
17	3.0062747764587505
18	3.00630355834962
19	3.0063399696350204
20	3.0062813854217634
21	3.006285219192515
22	3.0061826133728133
23	3.0063264656067
24	3.006267948150645
25	3.0062964534759624
26	3.006252679824839
27	3.0063090324401958
28	3.0062580108642685
29	3.0062646579742536
30	3.006270809173594
31	3.0062486171722513
32	3.006287088394175
33	3.006301918029796
34	3.0062732410431003
35	3.006281213760386
36	3.0062748622894393
37	3.006222705841075
38	3.0062281322479354
39	3.006289072036753
40	3.006244134902964
41	3.0062780189514258
42	3.0062725830078225
43	3.0062596225738627
44	3.0063123130798437
45	3.006251850128184
46	3.0062490653991802
47	3.00625452041627
48	3.0062708854675395
49	3.006268653869639
50	3.0062805271148783
51	3.0061830425262563
52	3.006272621154795
53	3.0063171768188575
54	3.0062784957885844
55	3.006234960556041
56	3.006287288665782
57	3.0062494564056497
58	3.0062705039978126
59	3.0063285255432235
60	3.0062800788879493
61	3.00626826286317
62	3.006275396347056
63	3.0062984466552836
64	3.006254930496226
65	3.0062607479095567
66	3.006252565383921
67	3.006271753311167
68	3.0062314891815287
69	3.0062762165069676
70	3.0062366867065533
71	3.0062817287445167
72	3.0062597656250105
73	3.0062553882598984
74	3.006368427276622
75	3.006241321563731
76	3.006257495880137
77	3.006256189346324
78	3.006268472671519
79	3.006287832260142
80	3.0062434387207135
81	3.006288890838633
82	3.006277923583994
83	3.0062297725677594
84	3.0062679195404156
85	3.0062583827972515
86	3.0063080978393657
87	3.0062892818451035
88	3.0062706565857034
89	3.006258220672618
90	3.0062771224975684
91	3.0062875270843605
92	3.0062762641906837
93	3.006298637390147
94	3.0062681484222518
95	3.0062593841552836
96	3.0063023948669536
97	3.0062731075286973
98	3.0062562561035264
99	3.006227941513072
100	3.006253423690806
101	3.0062883758545027
102	3.0062812709808453
103	3.0062561416626083
104	3.006291084289561
105	3.0062958145141705
106	3.006302032470714
107	3.006306047439585
108	3.006263074874889
109	3.0062790203094583
110	3.006287784576426
111	3.006263246536265
112	3.0062524604797467
113	3.0062631893158063
114	3.0062780189514258
115	3.0062294578552353
116	3.006282253265391
117	3.0062877941131694
118	3.0062589454650985
119	3.0062753295898537
120	3.006283349990855
121	3.0062716960907085
122	3.0062926769256695
123	3.0062969589233504
124	3.006314687728892
125	3.0062725830078225
126	3.0062609863281358
127	3.006284275054942
128	3.0062827301025488
129	3.006293926239024
130	3.006177835464488
131	3.0063274669647324
132	3.006288862228404
133	3.00624867439271
134	3.0062520790100202
135	3.0062936878204445
136	3.006295738220225
137	3.0062929725647076
138	3.0062552833557237
139	3.0062399291992286
140	3.006297273635875
141	3.006236667633067
142	3.006327838897715
143	3.006263294219981
144	3.0062891960144147
145	3.0062688636779886
146	3.006288547515879
147	3.006268644332896
148	3.006263675689708
149	3.0062509918212994
150	3.006263236999522
151	3.006301431655894
152	3.00622317314149
153	3.006283016204844
154	3.0063003253936875
155	3.0062553501129257
156	3.0062489128112895
157	3.006237726211558
158	3.0062712955474957
159	3.006255407333385
160	3.006304521560679
161	3.0062854099273784
162	3.006266193389903
163	3.0063521957397565
164	3.0062771224975684
165	3.0063278579712014
166	3.006271867752085
167	3.0062795829773052
168	3.0062539958953964
169	3.006286840438853
170	3.0063534450531106
171	3.0062885570526223
172	3.006283302307139
173	3.0062779045105077
174	3.0062543964386084
175	3.006265850067149
176	3.0062793731689554
177	3.0062652206421
178	3.0062894344329942
179	3.0062683677673445
180	3.0063797092437845
181	3.0063131237030136
182	3.006260337829601
183	3.006269931793223
184	3.006285591125499
185	3.006259355545054
186	3.006244516372691
187	3.0062360954284766
188	3.0062831115722757
189	3.0063007545471296
190	3.0062791538238622
191	3.006266250610362
192	3.006283292770396
193	3.0062784004211527
194	3.0062545299530132
195	3.006291990280162
196	3.006245384216319
197	3.006269989013682
198	3.0062454700470074
199	3.0063290882110696
200	3.0062502193451035
201	3.006321105957041
202	3.006299953460704
203	3.0062725543975928
204	3.006288661956797
205	3.0062625026702987
206	3.0062746238708598
207	3.0062354469299417
208	3.0063549232483013
209	3.0062645435333355
210	3.0062394809723
211	3.006275644302378
212	3.0062822723388773
213	3.0063601303100684
214	3.0062777614593603
215	3.006260557174693
216	3.0063477993011576
217	3.0062794589996438
218	3.0063252925872908
219	3.0062572002411
220	3.0062826442718604
221	3.0062607383728133
222	3.0063398551941023
223	3.006251945495616
224	3.0062637710571396
225	3.0062688636779886
226	3.0062607479095567
227	3.0062934398651224
228	3.006310844421397
229	3.0063348197937114
230	3.006243515014659
231	3.006252841949473
232	3.006276445388804
233	3.0062250995636086
234	3.006254072189342
235	3.0063005828857525
236	3.006319494247447
237	3.0062961387634384
238	3.006266136169444
239	3.0062681865692245
240	3.0063226985931495
241	3.0062987327575788
242	3.006340503692637
243	3.0062382030487163
244	3.0062083816528427
245	3.006255445480358
246	3.00625020980836
247	3.0062714767456153
248	3.006350870132456
249	3.006274538040171
250	3.00626615524293
251	3.0062448501587014
252	3.00628173828126
253	3.006271619796763
254	3.0063170528411964
255	3.006302967071544
256	3.0062648773193468
257	3.0062887001037697
258	3.0063002014160265
259	3.0062616252899277
260	3.006211414337169
261	3.006334419250499
262	3.0062397861480807
263	3.006392269134531
264	3.0062913799285997
265	3.0062631988525492
266	3.006294221878062
267	3.0062886905670263
268	3.00622841835023
269	3.006252880096446
270	3.006301279068004
271	3.0063150119781596
272	3.006194972991954
273	3.006257677078257
274	3.0062732887268164
275	3.006304168701182
276	3.00632327079774
277	3.006251182556163
278	3.0062548255920514
279	3.006263246536265
280	3.0063167572021587
281	3.0062873744964707
282	3.0062395477295025
283	3.006288061141978
284	3.006307182312022
285	3.006272134780894
286	3.0062548542022807
287	3.006275014877329
288	3.0063072204589947
289	3.0062738418579205
290	3.006291904449473
291	3.0062282180786237
292	3.006265344619761
293	3.006204071044932
294	3.0062734603881935
295	3.006273384094248
296	3.0062669372558695
297	3.0062827110290624
298	3.0062268352508648
299	3.0062676906585795
300	3.0062950515747175
301	3.0063107109069924
302	3.0062683010101425
303	3.006244382858287
304	3.00624587059022
305	3.006286029815684
306	3.006301212310802
307	3.0062179660797224
308	3.0062945938110452
309	3.0062901687622174
310	3.0062698459625343
311	3.0063788509369003
312	3.0062899017334086
313	3.006326036453257
314	3.006285696029673
315	3.0062152004242044
316	3.006278524398814
317	3.0063127517700297
318	3.0062536811828715
319	3.0062707710266214
320	3.0062508773803813
321	3.0062713623046977
322	3.006280450820933
323	3.0062997150421245
324	3.006255130767833
325	3.006281490325938
326	3.0062988853454695
327	3.006268348693858
328	3.006250152587901
329	3.006315174102793
330	3.006285085678111
331	3.0062942981720076
332	3.0063040924072366
333	3.006235952377329
334	3.0062372398376564
335	3.006261987686168
336	3.006338968276988
337	3.0062830257415873
338	3.0062635040283308
339	3.006252899169932
340	3.0062264060974226
341	3.006258096694957
342	3.006301937103282
343	3.0062657928466905
344	3.0061982631683453
345	3.006293697357188
346	3.0062774467468363
347	3.0063045787811387
348	3.006334562301646
349	3.006287469863902
350	3.0062977790832623
351	3.006342248916636
352	3.0063276481628516
353	3.006270265579234
354	3.006293659210215
355	3.00626675605775
356	3.0063263034820658
357	3.006298294067393
358	3.0062643623352154
359	3.0062846088409527
360	3.0062655830383407
361	3.0062719917297467
362	3.0063486766815286
363	3.0063462257385356
364	3.0062365627288923
365	3.0062624073028665
366	3.00628532409669
367	3.006255159378062
368	3.0062749385833847
369	3.0062353801727397
370	3.0062903881073106
371	3.006266098022471
372	3.006351747512827
373	3.0063180541992285
374	3.006270637512217
375	3.0062595939636334
376	3.0063081932067974
377	3.006285209655772
378	3.0062992668151964
379	3.0062599754333603
380	3.006248273849498
381	3.0062831020355327
382	3.0062799739837747
383	3.006286745071421
384	3.0062455844879254
385	3.0062728691101177
386	3.006232604980479
387	3.006346912384043
388	3.006234855651866
389	3.006265344619761
390	3.0062533378601177
391	3.0062723541259864
392	3.0062253475189316
393	3.006261882781993
394	3.006257677078257
395	3.006330556869517
396	3.006325416564952
397	3.0062664031982527
398	3.0062562179565537
399	3.0062251472473247
400	3.006305055618296
401	3.0062510776519877
402	3.006344337463389
403	3.0062599372863876
404	3.006266622543346
405	3.006258478164683
406	3.0062656688690295
407	3.006243638992319
408	3.0062936687469586
409	3.0062493133545027
410	3.0062554645538437
411	3.0062643623352154
412	3.006273193359385
413	3.0063673591613873
414	3.0062633228302102
415	3.0062574863433937
416	3.0063236045837507
417	3.0063440799713232
418	3.0063029479980576
419	3.006288194656382
