	Correlator	Error
0	3.216172232712512e-14	3.1552229053358747e-16
1	2.1790156056286236e-15	1.7438601139141702e-17
2	8.478570086230429e-17	6.498604243565325e-19
3	4.061128825163503e-18	3.1912565582513703e-20
4	1.9589604487712276e-19	1.5869761416934355e-21
5	9.634574533904081e-21	8.154901075178805e-23
6	4.705378926533247e-22	4.024332067956805e-24
7	2.3165209075400895e-23	2.0639374879479306e-25
8	1.1457746211390942e-24	1.0566896060352583e-26
9	5.694892191152e-26	5.530368251813653e-28
10	2.8017695488953156e-27	2.8978066433067316e-29
11	1.377154910474996e-28	1.5016514783492376e-30
12	6.793423473838713e-30	8.148540105154059e-32
13	3.3223271272179177e-31	4.448673316073058e-33
14	1.6654311066705612e-32	2.445612220867814e-34
15	8.287920079775568e-34	1.380078565647858e-35
16	4.138281022220226e-35	7.576747134487492e-37
17	2.0455707996199574e-36	4.217697826063906e-38
18	1.0088703052011282e-37	2.4614470556652044e-39
19	5.1115053558942204e-39	1.4133019499982707e-40
20	2.5280594980584586e-40	8.248361984906697e-42
21	1.2109868989871008e-41	4.7239113310334414e-43
22	5.55573313960236e-43	2.768441770153057e-44
23	2.966158603263683e-44	1.5898191945844682e-45
24	1.4688950951723198e-45	9.880295445082587e-47
25	7.311515579878639e-47	5.84376992499883e-48
26	3.799046432362297e-48	3.5223264287574395e-49
27	1.7706183006807945e-49	2.018269885393502e-50
28	9.277692285269548e-51	1.1842782182942761e-51
29	3.81960988606587e-52	7.301187343319127e-53
30	1.809352020532616e-53	4.4115638286571393e-54
31	1.017820136722281e-54	2.6451745140161466e-55
32	9.787276562097787e-56	3.336138883320991e-56
