	Correlator	Error
0	1.9590085136561954e-09	1.4109367303429853e-11
1	3.756571620321217e-08	2.680430229609733e-10
2	9.292391815046657e-09	6.540878691935643e-11
3	2.970882050981242e-09	2.116009458961193e-11
4	9.632289153464222e-10	7.0573656963936725e-12
5	3.194453030831163e-10	2.3956623789434285e-12
6	1.0704612358536731e-10	8.317841914302403e-13
7	3.62012441510274e-11	2.913105020137304e-13
8	1.2325831223339903e-11	1.0357068309316503e-13
9	4.215027283547469e-12	3.7580281587378953e-14
10	1.4417736622791974e-12	1.367793734715103e-14
11	4.928950427095679e-13	5.010264463469423e-15
12	1.6902247008380216e-13	1.8623680563312086e-15
13	5.820141524601827e-14	7.066379055942147e-16
14	2.012238670715363e-14	2.6877465949279126e-16
15	6.959266745329396e-15	1.0274366493240465e-16
16	2.408625436916522e-15	3.997623350083489e-17
17	8.363597075196695e-16	1.5765106621726147e-17
18	2.8820927711104334e-16	6.197989730890626e-18
19	9.928037443051779e-17	2.4456423498673386e-18
20	3.431585817770149e-17	9.747458538855567e-19
21	1.1797990677651489e-17	3.899289263764395e-19
22	4.111433298035623e-18	1.591731825054181e-19
23	1.4013578826525124e-18	6.505135075074899e-20
24	4.863953279633646e-19	2.728422232747131e-20
25	1.6849552878778205e-19	1.1378949464233452e-20
26	5.60798702912639e-20	4.828184602657221e-21
27	1.8523655902612226e-20	2.0638781270692416e-21
28	6.403966815912402e-21	8.780045537846596e-22
29	2.1645551269333244e-21	3.786507553875127e-22
30	6.643630894797587e-22	1.6676124204264722e-22
31	2.2114939117881256e-22	8.587289125590671e-23
32	1.44171574598226e-22	6.710679184080918e-23
