	Correlator	Error
0	6.791641032376807e-14	7.309836618959981e-16
1	1.1128734213113323e-13	9.430243244878809e-16
2	1.867709564206987e-14	1.5402819269471608e-16
3	4.743368656859362e-15	4.136331978332348e-17
4	1.248360999472346e-15	1.1595446591080437e-17
5	3.4660302290552465e-16	3.405899158113491e-18
6	9.704329234830928e-17	9.825806554726178e-19
7	2.784144494982547e-17	3.0079167313063185e-19
8	8.110458652524316e-18	9.481177741987202e-20
9	2.3986237179055443e-18	3.116096705181811e-20
10	7.011837887021297e-19	9.887155555168563e-21
11	2.0361150415719308e-19	3.2130142869944487e-21
12	6.07527181097549e-20	1.079383348621593e-21
13	1.7996273187448246e-20	3.901452276106989e-22
14	5.410096324814334e-21	1.3082805910941818e-22
15	1.6311155926364335e-21	4.55933378581139e-23
16	4.821639553142421e-22	1.6641674313600303e-23
17	1.4942284736406266e-22	5.773545980977709e-24
18	4.436720612923987e-23	2.128241971359506e-24
19	1.3993406117391896e-23	7.725024180688058e-25
20	3.9687917733319275e-24	2.8545273196178642e-25
21	1.1783373700402866e-24	1.0362467736443126e-25
22	3.804709400130894e-25	3.871881846940535e-26
23	9.432321696586025e-26	1.4588859019900475e-26
24	3.684509635319105e-26	5.52203638680368e-27
25	9.745609405795026e-27	2.1200254421291186e-27
26	2.356641698306333e-27	7.827632613913119e-28
27	8.92858704246614e-28	3.0118827996065576e-28
28	3.9628430245835444e-28	1.1606738273170536e-28
29	7.791841053796814e-29	4.544354244571823e-29
30	3.4979891065955187e-29	1.802686942281361e-29
31	9.761552760794739e-30	7.603269601153337e-30
32	-2.8282948968487425e-30	5.6756856725233476e-30
