	EffectiveMass
0	1.1766376495361368
1	1.176631317138676
2	1.176734037399296
3	1.1767564296722453
4	1.1766302490234417
5	1.1767323493957558
6	1.1767203235626262
7	1.1767543125152626
8	1.1767134761810343
9	1.176660842895512
10	1.176739730834965
11	1.1766669273376507
12	1.1766788959503216
13	1.1766959953308147
14	1.176754150390629
15	1.1767604541778607
16	1.176725311279301
17	1.176680841445927
18	1.1767413425445599
19	1.1767575550079383
20	1.1766747951507608
21	1.1767366313934364
22	1.1765507602691694
23	1.1767014026641884
24	1.1766405773162882
25	1.176707983016972
26	1.1767172145843545
27	1.176770191192631
28	1.1766563606262248
29	1.1766766834259073
30	1.176742334365849
31	1.176706008911137
32	1.1767474651336711
33	1.1767052936553999
34	1.1766582202911418
35	1.1766065883636518
36	1.1767351913452186
37	1.1766469383239788
38	1.1766032123565717
39	1.176670398712162
40	1.1767142486572304
41	1.1767387008667032
42	1.1766945171356242
43	1.1767166233062785
44	1.1768049240112344
45	1.1767841815948528
46	1.1766694164276166
47	1.1767007064819377
48	1.1766579818725629
49	1.1766560649871864
50	1.1767636871337932
51	1.1766608047485394
52	1.176646642684941
53	1.1767339134216348
54	1.1767098712921185
55	1.1766388893127484
56	1.1767108345031776
57	1.1767586994171182
58	1.17669718742371
59	1.176748914718632
60	1.176670265197758
61	1.1767196369171182
62	1.176754913330082
63	1.1766741657257118
64	1.1767094707489052
65	1.1766773891449016
66	1.1766239833831829
67	1.1766610050201456
68	1.176732187271122
69	1.17676985740662
70	1.1765919303894083
71	1.1767373085022013
72	1.1766910076141397
73	1.1766543865203898
74	1.1768400287628216
75	1.1766549682617227
76	1.1767312049865764
77	1.1766498279571576
78	1.1766727542877236
79	1.1766761970520059
80	1.176660366058354
81	1.176692724227909
82	1.1767449569702189
83	1.176599855422978
84	1.176788167953495
85	1.1767808055877726
86	1.176806707382206
87	1.176710262298588
88	1.176718750000004
89	1.1767380142211952
90	1.176739788055424
91	1.1766933345794717
92	1.1767155838012733
93	1.1766491222381632
94	1.1767557716369668
95	1.176730966567997
96	1.1767559719085734
97	1.1766978359222453
98	1.176699905395512
99	1.176730203628544
100	1.1766762161254922
101	1.176799201965336
102	1.1766721916198772
103	1.1766294002533002
104	1.1766798686981244
105	1.1767382526397745
106	1.176676673889164
107	1.1767061614990277
108	1.1765851020813032
109	1.1767097663879436
110	1.176748285293583
111	1.176685075759892
112	1.1767207622528117
113	1.1767019081115766
114	1.1767373657226603
115	1.1766361713409463
116	1.1766624164581339
117	1.1766833972930948
118	1.1766547393798867
119	1.176632184982304
120	1.1766225719451946
121	1.1767824745178266
122	1.176659879684452
123	1.1767745780944865
124	1.176761131286625
125	1.1766587924957317
126	1.1766901874542277
127	1.176717758178715
128	1.1766749572753947
129	1.1767965793609658
130	1.1765474128723188
131	1.1768173789978067
132	1.1767249774932902
133	1.1766226005554241
134	1.1767599678039589
135	1.176689929962162
136	1.1767201137542764
137	1.1768281745910683
138	1.176678447723393
139	1.1767780494689983
140	1.1767289257049602
141	1.1766670894622846
142	1.1767471599578896
143	1.176693410873417
144	1.1767060947418255
145	1.17676931381226
146	1.1766546249389687
147	1.1767257404327436
148	1.1767126369476357
149	1.1767236137390178
150	1.1767945003509561
151	1.1768012142181437
152	1.176702690124516
153	1.1766829776763956
154	1.1766315174102824
155	1.1767372322082559
156	1.1767260742187542
157	1.176654996871952
158	1.1767101097106973
159	1.1766302490234417
160	1.1766444301605266
161	1.1767787551879922
162	1.1766971969604532
163	1.1766350269317665
164	1.1767207908630413
165	1.1768142890930213
166	1.1766459178924602
167	1.176701660156254
168	1.1767330360412638
169	1.1767225742340128
170	1.1768021392822305
171	1.1766717529296915
172	1.176757984161381
173	1.1767335224151652
174	1.1766810989379923
175	1.1766475105285688
176	1.1767461585998578
177	1.1766502952575726
