	EffectiveMass
0	491.6087992084429
1	491.6087992084429
2	491.6087992084429
3	491.6087992084429
4	491.6087992084429
5	491.6087992084429
6	491.6087992084429
7	491.6087992084429
8	491.6087992084429
9	491.6087992084429
10	491.6087992084429
11	491.6087992084429
12	491.6112215491541
13	491.6087992084429
14	491.61048750484775
15	491.6087992084429
16	491.60960665385903
17	491.6087992084429
18	491.61056090910773
19	491.60938644147285
20	491.6087992084429
21	491.6087992084429
22	491.61048750484775
23	491.6087992084429
24	491.611448765196
25	491.6087992084429
26	491.6087992084429
27	491.61056090893277
28	491.61224920997535
29	491.6087992084429
30	491.6099736752028
31	491.60938644147285
32	491.6087992084429
33	491.61153893881595
34	491.6087992084429
35	491.6087992084429
36	491.61070771825126
37	491.6090928249579
38	491.6087992084429
39	491.60938644147285
40	491.6087992084429
41	491.6087992084429
42	491.6087992084429
43	491.61070771825126
44	491.6087992084429
45	491.6087992084429
46	491.6104141005987
47	491.6087992084429
48	491.6087992084429
49	491.6114954242594
50	491.6087992084429
51	491.6087992084429
52	491.611221547054
53	491.6087992084429
54	491.6090928249579
55	491.6087992084429
56	491.6112949530313
57	491.61048750478216
58	491.6087992084429
59	491.60975346251035
60	491.6087992084429
61	491.6104141005987
62	491.6087992084429
63	491.6087992084429
64	491.6105609075327
65	491.6099736752028
66	491.6096800579878
67	491.6087992084429
68	491.6087992084429
69	491.611221547054
70	491.6087992084429
71	491.6087992084429
72	491.6087992084429
73	491.6094598456016
74	491.6087992084429
75	491.6105609075327
76	491.6087992084429
77	491.6087992084429
78	491.6087992084429
79	491.60960665385903
80	491.6099736745028
81	491.6087992084429
82	491.6087992084429
83	491.6106343132365
84	491.6087992084429
85	491.6090928249579
86	491.61138203933444
87	491.6087992084429
88	491.6105609075327
89	491.6087992084429
90	491.6105609075327
91	491.6087992084429
92	491.6087992084429
93	491.6087992084429
94	491.61224920997535
95	491.6105609075327
96	491.6112949530313
97	491.6087992084429
98	491.6087992084429
99	491.61144086167167
100	491.6104141005987
101	491.6087992084429
102	491.611221547054
103	491.60968005833786
104	491.6115547371254
105	491.6087992084429
106	491.60960665385903
107	491.6090928249579
108	491.61158005328826
109	491.6087992084429
110	491.6105609075327
111	491.61151516617224
112	491.6104141005987
113	491.6087992084429
114	491.6087992084429
115	491.6087992084429
116	491.60960665385903
117	491.6087992084429
118	491.6087992084429
119	491.6104141005987
120	491.60960665385903
121	491.6087992084429
122	491.6096800579878
123	491.6087992084429
124	491.6113480278345
125	491.6087992084429
126	491.60968005833786
127	491.6087992084429
128	491.60960665385903
129	491.60968005833786
130	491.6090928249579
131	491.6094598456016
132	491.6087992084429
133	491.6087992084429
134	491.6112949530313
135	491.6090928249579
136	491.6106343132365
137	491.6087992084429
138	491.6118262911072
139	491.60960665385903
140	491.6102672917178
141	491.6090928249579
142	491.6105609075327
143	491.6087992084429
144	491.6107811225769
145	491.6087992084429
146	491.6087992084429
147	491.6090928249579
148	491.6106343132365
149	491.6090928249579
150	491.6103406963278
151	491.6102672917178
152	491.60960665385903
153	491.6105609075327
154	491.61026729206776
155	491.6104141005987
156	491.6087992084429
157	491.60960665385903
158	491.6104141005987
159	491.6099736745028
160	491.6087992084429
161	491.6087992084429
162	491.60975346251035
163	491.6106343132365
164	491.6087992084429
165	491.6087992084429
166	491.6099736752028
167	491.6087992084429
168	491.6105609075327
169	491.6087992084429
170	491.6087992084429
171	491.6112949528562
172	491.6104141005987
173	491.6104141005987
174	491.6117874247607
175	491.6112949528562
176	491.61048750484775
177	491.6099736752028
178	491.6087992084429
179	491.6087992084429
180	491.61393751723097
181	491.6087992084429
182	491.6090928249579
183	491.6087992084429
184	491.6087992084429
185	491.6087992084429
186	491.6105609075327
187	491.6090928249579
188	491.6087992084429
189	491.6104141005987
190	491.6110747398903
191	491.6087992084429
192	491.60960665385903
193	491.6096800579878
194	491.61070771825126
195	491.6090928249579
196	491.6087992084429
197	491.611667023102
198	491.6090928249579
199	491.6087992084429
200	491.6087992084429
201	491.6087992084429
202	491.6102672917178
203	491.6087992084429
204	491.6087992084429
205	491.6087992084429
206	491.6087992084429
207	491.6105609075327
208	491.6087992084429
209	491.610781122544
210	491.6087992084429
211	491.6087992084429
212	491.61048750484775
213	491.6087992084429
214	491.61012048364626
215	491.6087992084429
216	491.6099736745028
217	491.6087992084429
218	491.6087992084429
219	491.61048750484775
220	491.6122492114848
221	491.6106343132365
222	491.6087992084429
223	491.6087992084429
224	491.6096800579878
225	491.6087992084429
226	491.6104141005987
227	491.6087992084429
228	491.6087992084429
229	491.61048750484775
230	491.6087992084429
231	491.6087992084429
232	491.6090928249579
233	491.6090928249579
234	491.60975346251035
235	491.6096800579878
236	491.6090928249579
237	491.6112949530313
238	491.61048750484775
239	491.6104141005987
240	491.6087992084429
241	491.6087992084429
242	491.6087992084429
243	491.60938644147285
244	491.6087992084429
245	491.6090928249579
246	491.60960665385903
247	491.6087992084429
248	491.6087992084429
249	491.6090928249579
250	491.60938644147285
251	491.6087992084429
252	491.6087992084429
253	491.6105609075327
254	491.6087992084429
255	491.6087992084429
256	491.60938644147285
257	491.6087992084429
258	491.6087992084429
259	491.6087992084429
260	491.6087992084429
261	491.6096800579878
262	491.61012048364626
263	491.6087992084429
264	491.6087992084429
265	491.6087992084429
266	491.6099736745028
267	491.6112187727299
268	491.6113683558365
269	491.6087992084429
270	491.6105609075327
271	491.6087992084429
272	491.6087992084429
273	491.6087992084429
274	491.60982686624527
275	491.6087992084429
276	491.6087992084429
277	491.6087992084429
278	491.6087992084429
279	491.6090928249579
280	491.6094598456016
281	491.6087992084429
282	491.6087992084429
283	491.6090928249579
284	491.6087992084429
285	491.6087992084429
286	491.6087992084429
287	491.6087992084429
288	491.6105609075327
289	491.6090928249579
290	491.6087992084429
291	491.6114321420597
292	491.6099736745028
293	491.6112949530313
294	491.6104141005987
295	491.6105609075327
296	491.61048750484775
297	491.6090928249579
298	491.6087992084429
299	491.6104141005987
300	491.6094598456016
301	491.6087992084429
302	491.6087992084429
303	491.6087992084429
304	491.6090928249579
305	491.60960665385903
306	491.6090928249579
307	491.6094598456016
308	491.6087992084429
309	491.6113683574115
310	491.6087992084429
311	491.61012048364626
312	491.6087992084429
313	491.6105609075327
314	491.6090928249579
315	491.6087992084429
316	491.6087992084429
317	491.6113460308422
318	491.6087992084429
319	491.6099736745028
320	491.6090928249579
321	491.6087992084429
322	491.6113767526098
323	491.6087992084429
324	491.6087992084429
325	491.6087992084429
326	491.6087992084429
327	491.6087992084429
