A0_old,A1_old,A0_new,A1_new,m0,m1,dm
5.633807222812959e-08,3.414352849655886e-08,1.3967626522028286e-13,1.5154056615870956e-13,1.061447144436097,1.3537890631904637,0.2923419187543667
5.633790464025075e-08,3.40411763153125e-08,1.3968179717734155e-13,1.506767294335609e-13,1.0614918012802343,1.3527315622091762,0.2912397609289418
5.6338306231902185e-08,3.4026412694373935e-08,1.3966588826959175e-13,1.5089527235670504e-13,1.0614665224456017,1.3528112726228918,0.29134475017729017
5.6346894537807636e-08,3.3970799185299825e-08,1.39672529697652e-13,1.5052877479299797e-13,1.0614791928719756,1.3521129265471195,0.290633733675144
5.6338244979357886e-08,3.4006869524783295e-08,1.3968068906290287e-13,1.5068449963384645e-13,1.0614623318634095,1.352819191681053,0.2913568598176436
5.633097652225773e-08,3.407282025483307e-08,1.3968006980560863e-13,1.5061671838440005e-13,1.0614690621425331,1.3527167873588692,0.29124772521633613
5.6335877382598495e-08,3.402166663534486e-08,1.3968482953292353e-13,1.5060254164972028e-13,1.0614458076848055,1.3526172303229915,0.291171422638186
5.6335105398072754e-08,3.3946885774304924e-08,1.3967803218445736e-13,1.5028536848731923e-13,1.0614823351025016,1.3523424391833032,0.29086010408080165
5.6339968521661774e-08,3.4026821198740925e-08,1.396779780016993e-13,1.506809249603889e-13,1.0614699629817184,1.352753238514316,0.29128327553259764
5.6335932776371137e-08,3.404202300086224e-08,1.3969890167390553e-13,1.506358895869928e-13,1.0614500829324889,1.3528517580116657,0.2914016750791768
5.6342768002847615e-08,3.397592937226263e-08,1.3964968546619073e-13,1.508021277439504e-13,1.0615051181232877,1.352581424036821,0.29107630591353323
5.6339564346266057e-08,3.4025110826602497e-08,1.3967887196388155e-13,1.5079216774438998e-13,1.061474287795282,1.3526630372828565,0.2911887494875745
5.641756149592989e-08,3.4069090789244476e-08,1.3993505356543e-13,1.5116286260110728e-13,1.0615605641939407,1.3543294882110057,0.29276892401706495
5.633084237174794e-08,3.4012807676627206e-08,1.3968671829649776e-13,1.506358619540183e-13,1.0614541322144144,1.3530296875826129,0.29157555536819846
5.633862061412229e-08,3.400405135134563e-08,1.3968179317978265e-13,1.506502527999608e-13,1.0614505389439166,1.3525084327399348,0.2910578937960182
5.6347380050377215e-08,3.389073691190551e-08,1.396855433542664e-13,1.505253013467369e-13,1.061506576054209,1.3526080210333675,0.29110144497915846
5.633918498789345e-08,3.409432406451898e-08,1.3971909469385104e-13,1.5084508632262497e-13,1.0614319376554433,1.3532397774245721,0.2918078397691287
5.6337665598122456e-08,3.406797750822233e-08,1.3966040652376373e-13,1.5101397923852014e-13,1.061442503462577,1.3527426768818152,0.2913001734192381
5.633968608986554e-08,3.400062906394882e-08,1.3967967230278228e-13,1.506404535181071e-13,1.0614466467007269,1.3525437778602538,0.2910971311595269
5.633374784250414e-08,3.401103784082582e-08,1.3968170467270566e-13,1.506141728439677e-13,1.0614733273881685,1.3525086830692903,0.2910353556811217
5.6332525827680504e-08,3.410046980721586e-08,1.3969519963472075e-13,1.5103177902877308e-13,1.0614405467572532,1.353284345537258,0.2918437987800049
5.633605513615649e-08,3.411187238264268e-08,1.3971038727755325e-13,1.5102688945350067e-13,1.0614547595520452,1.3532733076349217,0.29181854808287644
5.633981260451729e-08,3.401562352486649e-08,1.3967848258746923e-13,1.5071269309296602e-13,1.0614550239575322,1.3527259914539786,0.2912709674964465
5.6214480634859284e-08,3.397958387423161e-08,1.3933504644429647e-13,1.4983938603719025e-13,1.0613541346244353,1.3504088595385149,0.2890547249140797
5.634117579410093e-08,3.4015597737715906e-08,1.3966714364511214e-13,1.5067623760708757e-13,1.0614992012523816,1.3528939238637037,0.29139472261132215
5.633500968676287e-08,3.395790759031095e-08,1.3967322747336214e-13,1.5042322968231026e-13,1.0614685878268328,1.3524361670941922,0.2909675792673595
5.6339048334649656e-08,3.40166968516623e-08,1.3968014825013988e-13,1.5066887154271324e-13,1.0614651944661018,1.3527977228163603,0.2913325283502587
