	EffectiveMass
0	1.925005016326912
1	1.9251666164398265
2	1.9250268459320143
3	1.9251727294921945
4	1.9250934410095288
5	1.9250607204437329
6	1.9250837039947586
7	1.9249493122100907
8	1.9250758647918775
9	1.9248248291015702
10	1.9248539543151932
11	1.92500416755677
12	1.92484755516053
13	1.9250562667846753
14	1.924745645523079
15	1.9250261783599927
16	1.9249717235565258
17	1.9249046802520826
18	1.9250449275970534
19	1.9250424289703443
20	1.9250478744506911
21	1.9252549076080394
22	1.924907417297371
23	1.924907941818245
24	1.9251323604583812
25	1.9245990180969312
26	1.9249173355102611
27	1.9247486782074053
28	1.9251779556274484
29	1.9249409866333083
30	1.924858655929573
31	1.9249587440490799
32	1.9250864791870193
33	1.9251233482360912
34	1.9250063705444411
35	1.9247855091095045
36	1.9248793697357252
37	1.9249461364746168
38	1.925087070465095
39	1.9249579906463696
40	1.9250286102294996
41	1.9249142837524489
42	1.9249120426178055
43	1.925117063522346
44	1.9248782825470043
45	1.9250346946716381
46	1.9250838947296216
47	1.924675550460823
48	1.924966316223152
49	1.9251155090332104
50	1.92518163681031
51	1.9251195812225415
52	1.9250183296203685
53	1.9249564075470043
54	1.9251940631866529
55	1.924940395355232
56	1.9250950717926096
57	1.9251752376556468
58	1.9250875091552806
59	1.9251959228515698
60	1.9250138378143384
61	1.9249725341796948
62	1.9249590396881178
63	1.9248979854583814
64	1.924920921325691
65	1.924845695495613
66	1.9252582931518627
67	1.9249576377868727
68	1.9250234699249342
69	1.9250492286682204
70	1.9248266124725417
71	1.9250217533111644
72	1.925132513046272
73	1.924960088729866
74	1.9249662971496657
75	1.924866218566902
76	1.9249089908599928
77	1.9248328781128006
78	1.9249064540863112
79	1.9249586582183913
80	1.924971151351936
81	1.9252662181854319
82	1.9249414825439528
83	1.9248571205139235
84	1.924952316284187
85	1.9248657321930007
86	1.9250552558899
87	1.9249004936218337
88	1.925243186950691
89	1.9250757312774731
90	1.924820928573616
91	1.9249116325378495
92	1.9251352119445873
93	1.9248881626129226
94	1.925004854202278
95	1.9247487354278643
96	1.9249613571167066
97	1.9250483608245923
