	Correlator	Error
0	1.865972564781065e-14	1.5566854138993073e-16
1	6.483751077781835e-15	5.1659078731224116e-17
2	8.703952190207714e-16	6.6679636514356855e-18
3	1.3141109602777566e-16	9.87487344261072e-19
4	1.929254502968941e-17	1.4406415323729777e-19
5	2.8287795997686164e-18	2.074671202389165e-20
6	4.132062508820498e-19	3.042347929844159e-21
7	6.027223225884902e-20	4.475217881089404e-22
8	8.783758795597991e-21	6.694779371308653e-23
9	1.2797296076047059e-21	9.97294571405372e-24
10	1.8639400246246444e-22	1.5041273137771645e-24
11	2.715325756044419e-23	2.2651714655675373e-25
12	3.954250650647975e-24	3.4571442748377964e-26
13	5.763129178135564e-25	5.25312925393012e-27
14	8.399081942515791e-26	8.078268744342566e-28
15	1.2245403830469226e-26	1.2347894030787546e-28
16	1.7847247520768205e-27	1.9039082649930072e-29
17	2.600365275125337e-28	2.9606703249020108e-30
18	3.791628532641594e-29	4.6046902754120084e-31
19	5.533079771324957e-30	7.073337400890213e-32
20	8.076315407707943e-31	1.0957573923541938e-32
21	1.1794682514379118e-31	1.7151702735702342e-33
22	1.722229049736462e-32	2.715161115874291e-34
23	2.5120224683296526e-33	4.2657715435600493e-35
24	3.659432167879369e-34	6.598377555566593e-36
25	5.335528400824136e-35	1.0301541006559719e-36
26	7.777648673940408e-36	1.612941734375625e-37
27	1.137919144927094e-36	2.507884543666056e-38
28	1.6650349576331308e-37	3.927210760748697e-39
29	2.435501996296235e-38	6.19012387422001e-40
30	3.56786266005918e-39	9.845518553421518e-41
31	5.226175324407782e-40	1.557555855884475e-41
32	7.648241104073144e-41	2.4779860613298568e-42
33	1.1151331060024817e-41	3.9799417787956185e-43
34	1.6364880011196667e-42	6.433940893366034e-44
35	2.3966223453766764e-43	1.0365580924394792e-44
36	3.5130028526366574e-44	1.6728477219663086e-45
37	5.1474300048290534e-45	2.743233960691393e-46
38	7.550050087678547e-46	4.464260697903992e-47
39	1.0982391092849026e-46	7.153098848971812e-48
40	1.58762615916182e-47	1.1508329525571903e-48
41	2.303620412495021e-48	1.867168284095617e-49
42	3.399246601897989e-49	3.027925951278915e-50
43	4.996112753491743e-50	4.9404882329460127e-51
44	7.322387167493764e-51	7.972499000379932e-52
45	1.0850440265925878e-51	1.2882125374698501e-52
46	1.6469318893121281e-52	2.0670107852703688e-53
47	2.5631958378377967e-53	3.445842715264036e-54
48	7.593187510521233e-54	1.0905210989709538e-54
