	Correlator	Error
0	3.481836985745686e-14	3.0953180101513574e-16
1	7.218060005277363e-14	5.7253199319342e-16
2	2.084009122116101e-14	1.5980842518168605e-16
3	8.62330639649438e-15	6.565026238715098e-17
4	3.562866022169146e-15	2.7472855573917408e-17
5	1.5124360970709996e-15	1.12988074962679e-17
6	6.495013691176801e-16	4.919694624445325e-18
7	2.8173969142502997e-16	2.1833169465840545e-18
8	1.2309003721259553e-16	1.0047912062203099e-18
9	5.402813858432445e-17	4.53544273026048e-19
10	2.3829215123806782e-17	2.1237757250842997e-19
11	1.0554723374131779e-17	9.931166750627693e-20
12	4.687469869705217e-18	4.7327758144455695e-20
13	2.0868553525170956e-18	2.207663239324891e-20
14	9.304845403693935e-19	1.0542725729619293e-20
15	4.1567880735093377e-19	5.001385725057029e-21
16	1.8576236240799804e-19	2.4156275625985823e-21
17	8.309318369638116e-20	1.158277816699268e-21
18	3.721033050605009e-20	5.593377133071061e-22
19	1.6686270257245554e-20	2.701679981682947e-22
20	7.487505895434255e-21	1.3138245137711722e-22
21	3.3593573170971784e-21	6.358553799852849e-23
22	1.5075813194236181e-21	3.0623649550902086e-23
23	6.776632136875217e-22	1.457984548153779e-23
24	3.0410009665592095e-22	7.049700927933119e-24
25	1.3647733116203218e-22	3.439291702054504e-24
26	6.145133425690299e-23	1.690748796761088e-24
27	2.7699646040517805e-23	8.2468338986280295e-25
28	1.2452125150741402e-23	4.059269959526712e-25
29	5.599586180755082e-24	2.0034959959616435e-25
30	2.5182256329149386e-24	9.917332260832905e-26
31	1.1282373993341547e-24	4.885903044052751e-26
32	5.036018983183134e-25	2.4187112361095257e-26
33	2.2595740327266055e-25	1.2028576276536007e-26
34	1.0085881175515768e-25	6.008853666641328e-27
35	4.5042010596907e-26	2.9665381408073966e-27
36	1.9967806553084515e-26	1.4802318261889395e-27
37	8.839751641058474e-27	7.4433999120772125e-28
38	3.933650761083231e-27	3.787890620452194e-28
39	1.7239518890428307e-27	1.8820936624722334e-28
40	7.582433669392795e-28	9.293513139429621e-29
41	3.3440385245486524e-28	4.6394394748370476e-29
42	1.484874524047592e-28	2.3695909812131305e-29
43	6.51501185846298e-29	1.201628276978604e-29
44	2.8058771632426476e-29	6.036223342470285e-30
45	1.2613456125715379e-29	3.0271751761303148e-30
46	5.783763632182451e-30	1.5899089531462105e-30
47	2.930746190868802e-30	9.516969538660027e-31
48	2.244582956563089e-30	7.861878664324492e-31
