	Correlator	Error
0	3.5698373856521535e-14	1.6324549605627627e-15
1	7.335194501309607e-14	3.0342576595772646e-15
2	2.0452838875826273e-14	7.877220500912079e-16
3	8.24439934332908e-15	3.1060786197265104e-16
4	3.329889676121287e-15	1.253763891382376e-16
5	1.3915190751268018e-15	5.1635561170970414e-17
6	5.875684092527833e-16	2.1472406240237996e-17
7	2.485101910182088e-16	8.973578826579907e-18
8	1.060019288500383e-16	3.789876018057863e-18
9	4.5417083027413686e-17	1.6303476600607326e-18
10	1.96018539394243e-17	7.241200589787344e-19
11	8.50671110463879e-18	3.21170621133541e-19
12	3.703764218151565e-18	1.4098151078443398e-19
13	1.6156789240018638e-18	6.27650829526858e-20
14	7.056901940458904e-19	2.804242008561996e-20
15	3.092228687377183e-19	1.2695917683634089e-20
16	1.3610095203804013e-19	5.848264135990801e-21
17	5.973497423983445e-20	2.7078281515560893e-21
18	2.6330451567019515e-20	1.2616086398525263e-21
19	1.1580757710610414e-20	5.807764590813616e-22
20	5.090552680861622e-21	2.657614880746587e-22
21	2.232420752225295e-21	1.2244818579630234e-22
22	9.813780913525509e-22	5.711671760318753e-23
23	4.267629030631459e-22	2.678837760088657e-23
24	1.865924983342555e-22	1.2771299998362832e-23
25	8.261484655781106e-23	6.0717949847988316e-24
26	3.6481903310351557e-23	2.7546553884240405e-24
27	1.6134720172923097e-23	1.2624964762399374e-24
28	6.988661741934387e-24	5.75700881960524e-25
29	2.9845945717383473e-24	2.6418432329754465e-25
30	1.2528564064389077e-24	1.2440048437517845e-25
31	5.307689398285036e-25	5.87982282931079e-26
32	2.30146221225294e-25	2.8219224513611914e-26
33	9.848311566729656e-26	1.346406467243936e-26
34	4.3505212189085394e-26	6.487328656289669e-27
35	1.926993087960678e-26	3.2770068023024015e-27
36	8.539318483960714e-27	1.6352896621572948e-27
37	3.7278707785696596e-27	8.040676585254136e-28
38	1.6321119104874287e-27	3.838862130249136e-28
39	7.289122088294668e-28	1.9095684372219925e-28
40	3.2281902427181083e-28	9.742496974758811e-29
41	1.25120816840015e-28	5.114930979051044e-29
42	5.516423969505569e-29	2.6163235704498774e-29
43	2.4786845106511336e-29	1.2964147635420952e-29
44	1.0478936629263578e-29	6.199042598320874e-30
45	4.506832308208615e-30	3.032008986032778e-30
46	1.7610870327343008e-30	1.573060123172562e-30
47	7.799298133091092e-31	9.779267345423402e-31
48	5.992947635477027e-31	8.03262603865117e-31
