	EffectiveMass
0	0.7572052001953148
1	0.7579870605468773
2	0.7576318359375022
3	0.7580474853515647
4	0.7575726318359397
5	0.7571356201171898
6	0.7579449462890648
7	0.7577520751953147
8	0.7584552001953148
9	0.7578875732421898
10	0.7585455322265647
11	0.7576599121093772
12	0.7579730224609398
13	0.7576696777343774
14	0.7577441406250023
15	0.7578033447265647
16	0.7593579101562524
17	0.7580065917968772
18	0.7574194335937523
19	0.7577770996093773
20	0.7582385253906272
21	0.7577648925781273
22	0.7583551025390648
23	0.7579577636718773
24	0.7574511718750023
25	0.7580517578125022
26	0.7580340576171897
27	0.7581817626953148
28	0.7580963134765647
29	0.7577093505859398
30	0.7579913330078148
31	0.7583782958984399
32	0.7578503417968772
33	0.7576574707031272
34	0.7579443359375023
35	0.7575256347656272
36	0.7576867675781274
37	0.7576623535156273
38	0.7577868652343773
39	0.7574957275390648
40	0.7576446533203146
41	0.7581176757812522
42	0.7575183105468772
43	0.7582171630859398
44	0.7574401855468773
45	0.7571881103515649
46	0.7577612304687522
47	0.7576623535156273
48	0.7577850341796898
49	0.7579284667968773
50	0.7583666992187523
51	0.7576062011718772
52	0.7578564453125022
53	0.7577014160156272
54	0.7579479980468773
55	0.7581915283203148
56	0.7581622314453148
57	0.7581689453125023
58	0.7579003906250024
59	0.7580432128906271
60	0.7584179687500023
61	0.7578625488281272
62	0.7578833007812522
63	0.7578112792968772
64	0.7576531982421898
65	0.7581103515625022
66	0.7580499267578148
67	0.7581048583984397
68	0.7579266357421898
69	0.7580273437500022
70	0.7576507568359397
71	0.7583142089843773
72	0.7578497314453146
73	0.7581555175781274
74	0.7584362792968773
75	0.7574328613281274
76	0.7583422851562522
77	0.7578326416015647
78	0.7578057861328148
79	0.7574426269531274
80	0.7578265380859397
81	0.7585919189453149
82	0.7584539794921897
83	0.7579589843750023
84	0.7577301025390648
85	0.7577386474609398
86	0.7579504394531273
87	0.7573419189453149
88	0.7576776123046899
89	0.7583984375000024
90	0.7575543212890647
91	0.7578332519531272
92	0.7576599121093772
93	0.7583251953125022
94	0.7578979492187523
95	0.7583374023437521
96	0.7578100585937522
97	0.7579339599609398
