	EffectiveMass
0	0.9129144636508568
1	0.9044778188716257
2	0.883571950974513
3	0.906362888155722
4	0.9305271369589556
5	0.9128279608299799
6	0.889644432346412
7	0.9299798492663094
8	0.9064838852985063
9	0.9048981489278306
10	0.9148768665457898
11	0.9095199326546983
12	0.9049897730767297
13	0.9147103319286696
14	0.9206907560283621
15	0.8928386581648345
16	0.9006948468004556
17	0.9153346609733332
18	0.9222866252122317
19	0.9112616836032497
20	0.8980327085202715
21	0.9050203733235849
22	0.9052507209054927
23	0.9143741752580435
24	0.8938176774076028
25	0.8885063023611488
26	0.8989917038353401
27	0.9168760805512081
28	0.8927260377138502
29	0.9159699435321336
30	0.9256991718493346
31	0.893708041716781
32	0.9109490762177319
33	0.9455249526248455
34	0.9206841209601431
35	0.9097754194648711
36	0.9270649668320469
37	0.921581086062498
38	0.8877959642376516
39	0.899218433050816
40	0.8947453555980551
41	0.9159610967804523
42	0.910585088231006
43	0.9073337207904993
44	0.8976570816900905
45	0.9244535933811573
46	0.9146173750695277
47	0.9024358107344712
48	0.9058954948233215
49	0.9085223858625352
50	0.8814505026709911
51	0.9075752080107052
52	0.9055372262004466
53	0.9118459376466443
54	0.9110978076426643
55	0.9103976406166964
56	0.8809691149305043
57	0.8899704262919553
58	0.9153051297471602
59	0.9258368803324317
60	0.9123693050009685
61	0.9100578957258898
62	0.9021813276978295
63	0.9100963568229524
64	0.9121759272837839
65	0.9138641870271319
66	0.8800140708815352
67	0.9051992324235161
68	0.9044068644834574
69	0.929520298974399
70	0.9071010615404127
71	0.8999526076184409
72	0.9192913166566603
73	0.9094390501916958
74	0.9022818188768944
75	0.8981324536538484
76	0.913997392940011
77	0.9117084122477387
78	0.897332125316801
79	0.9095154473298659
80	0.9133683893442438
81	0.9294144052973808
82	0.9213865256692122
83	0.9042141512644226
84	0.8978085950319056
85	0.9111872209038654
86	0.9145457315810254
87	0.8938087803254338
88	0.8930955992563666
89	0.9197138714519234
90	0.9357898499228596
91	0.9101074475115544
92	0.8979966657868228
93	0.914994144430794
94	0.9308426119058526
95	0.9138883557205113
96	0.9209806794430828
97	0.8927135294862675
