	Correlator	Error
0	6.296648955951355e-12	8.544331354489269e-14
1	1.6047776186257773e-12	2.0763894919528082e-14
2	1.588615458190821e-13	1.9848163702147177e-15
3	1.7431670860229852e-14	2.1287717122652166e-16
4	1.8555439345929524e-15	2.229451312447786e-17
5	1.9697977554774899e-16	2.359583006404625e-18
6	2.082107572232222e-17	2.494593938459969e-19
7	2.1949109009350488e-18	2.6421219147888836e-20
8	2.3092692383493612e-19	2.8144121391433723e-21
9	2.434437156117804e-20	3.034135942655753e-22
10	2.5672378863734936e-21	3.300770563892768e-23
11	2.7040531474633807e-22	3.621046491637049e-24
12	2.8444752515285336e-23	4.001510019628263e-25
13	2.9948884365528345e-24	4.427916244419363e-26
14	3.145979407178948e-25	4.854209381550142e-27
15	3.311341165818641e-26	5.328276391581568e-28
16	3.4819136373871346e-27	5.873928330990741e-29
17	3.6587629940624393e-28	6.460183261696836e-30
18	3.8523492215918497e-29	7.112826807329849e-31
19	4.0628885565840016e-30	7.910148232880695e-32
20	4.280638539534225e-31	8.922367598893843e-33
21	4.515738234758471e-32	1.0126099369494123e-33
22	4.743680879087438e-33	1.1634608121598125e-34
23	4.993711224980105e-34	1.3412295913199736e-35
24	5.250460622389252e-35	1.54522562779004e-36
25	5.4824274638004195e-36	1.7818199668203234e-37
26	5.749456494396511e-37	2.0547855835446464e-38
27	5.997239076071726e-38	2.4061971178837524e-39
28	6.321118103103893e-39	2.8739977236022037e-40
29	6.628245107562064e-40	3.4505215976625344e-41
30	6.918359372160458e-41	4.1594074519995597e-42
31	7.194096883574446e-42	5.07779451403786e-43
32	1.474331477519429e-42	1.2143020285489485e-43
