	Correlator	Error
0	1.667149321743939e-12	2.1369791223247874e-14
1	3.095505961186069e-11	2.9635348653339224e-13
2	8.712475174832827e-12	8.017713066829892e-14
3	3.391834635384947e-12	3.0476814283727903e-14
4	1.3218073899361894e-12	1.1856077316053523e-14
5	5.284884216301868e-13	4.791969893625931e-15
6	2.1357733190833142e-13	1.9610303163263763e-15
7	8.708722528737391e-14	8.176720203999722e-16
8	3.566857802355784e-14	3.426206907004301e-16
9	1.4686121756807445e-14	1.4489145870326365e-16
10	6.071678258483656e-15	6.1722379049138e-17
11	2.5150910155209293e-15	2.6279154051940675e-17
12	1.0430106083398013e-15	1.1276129133196247e-17
13	4.3325513510590487e-16	4.859683863539501e-18
14	1.8031261293812466e-16	2.107461938631042e-18
15	7.517198190395807e-17	9.09737201215889e-19
16	3.139221173719604e-17	3.948757787168097e-19
17	1.3125838988447156e-17	1.716560328969457e-19
18	5.5056025564361535e-18	7.546792676983062e-20
19	2.3051420038694452e-18	3.343358209700678e-20
20	9.651275255868543e-19	1.4912298303708197e-20
21	4.048482483932515e-19	6.7257483821946244e-21
22	1.6978402996500201e-19	3.0512180353108904e-21
23	7.144934161225214e-20	1.3798126054199165e-21
24	3.003550817183661e-20	6.2447532611150065e-22
25	1.258979540689289e-20	2.859939997929372e-22
26	5.260187708817997e-21	1.3114866275007125e-22
27	2.192076395905006e-21	6.01278858690554e-23
28	9.16217461385285e-22	2.8031526160514716e-23
29	3.823157089629667e-22	1.3357493859546833e-23
30	1.6215660035504337e-22	6.540525010545703e-24
31	7.677505257039351e-23	3.6592557572573034e-24
32	5.471046847521072e-23	2.942456530745905e-24
