	Correlator	Error
0	2.147456026940531e-11	2.736203341278817e-13
1	3.5556663871714915e-11	3.8946686907621023e-13
2	1.0905832939540554e-11	1.1417150063690445e-13
3	4.542357305360531e-12	4.677580842795821e-14
4	1.8822595965266737e-12	1.9302469472201464e-14
5	7.972037219077105e-13	8.207708905221262e-15
6	3.397181626650542e-13	3.5356776058353224e-15
7	1.4549978275600836e-13	1.5411311468816384e-15
8	6.257125783596706e-14	6.8118828324901095e-16
9	2.6973394060490118e-14	3.02850408965002e-16
10	1.1669169263830957e-14	1.3524891329264658e-16
11	5.0546585523680116e-15	6.020066555541986e-17
12	2.192525355108825e-15	2.680109870447418e-17
13	9.524830648233047e-16	1.1891069438950169e-17
14	4.1368498707330123e-16	5.2674829969061404e-18
15	1.7969275912404978e-16	2.346544352053072e-18
16	7.798829642953439e-17	1.0406489129345752e-18
17	3.383684996690626e-17	4.622831980801319e-19
18	1.4679354256332296e-17	2.0761004004545042e-19
19	6.365137054052155e-18	9.368636664284416e-20
20	2.7680726398277866e-18	4.224721919150087e-20
21	1.204282351601384e-18	1.905240729524188e-20
22	5.235833991320947e-19	8.614259710068236e-21
23	2.273023845760749e-19	3.8841175222486565e-21
24	9.851146292486498e-20	1.7483549352930687e-21
25	4.273733030718296e-20	7.927532002789712e-22
26	1.8542236862952207e-20	3.628934653981872e-22
27	8.06095776960051e-21	1.6730772946500316e-22
28	3.508955197400173e-21	7.777876960629222e-23
29	1.5374281636043348e-21	3.662380145746339e-23
30	6.909006747784483e-22	1.7958856349303694e-23
31	3.4567442548491335e-22	1.0229975639455184e-23
32	2.5257305584297704e-22	8.177614730792226e-24
