	EffectiveMass
0	2.258077526092538
1	2.2577244853973477
2	2.2579815578460787
3	2.2580554294586266
4	2.2579424381256192
5	2.257756175994882
6	2.2579621028900236
7	2.2579936218261807
8	2.2580923557281585
9	2.25804250717164
10	2.2583021354675377
11	2.2580133914947593
12	2.2580247879028406
13	2.25778634071351
14	2.2578560447692957
15	2.257990789413461
16	2.2580110931396575
17	2.2583055305481037
18	2.25835458755494
19	2.258186435699471
20	2.2580273437500087
21	2.258010463714608
22	2.2576296520233248
23	2.258069944381723
24	2.258082113266
25	2.2579232025146574
26	2.2578718090057466
27	2.257971124649057
28	2.2580467510223476
29	2.2578180694580166
30	2.25781940460206
31	2.2578012752533043
32	2.258294763565072
33	2.257933425903329
34	2.2579749011993497
35	2.258008546829232
36	2.2579051399231047
37	2.2579506683349697
38	2.257963657379159
39	2.258180580139169
40	2.25803177833558
41	2.257895231246957
42	2.2581827545166098
43	2.257875175476083
44	2.257981090545663
45	2.258089904785165
46	2.2579198646545495
47	2.2580249023437586
48	2.2579513168335046
49	2.2580094337463463
50	2.2580727767944424
51	2.2580329418182457
52	2.257915077209481
53	2.2579062652587982
54	2.257994699478158
55	2.257814016342172
56	2.2579863166809173
57	2.2579299926757903
58	2.2577740192413422
59	2.2578790950775236
60	2.2579283237457357
61	2.257789936065683
62	2.257943115234384
63	2.257886323928842
64	2.2578744983673182
65	2.2582668209076013
66	2.2580790424347006
67	2.257965850830087
68	2.25802520751954
69	2.2578268337249847
70	2.2580567932128996
71	2.2577497577667325
72	2.257950010299692
73	2.2578819942474455
74	2.2575570487976164
75	2.2581532955169763
76	2.2579088687896816
77	2.2578234958648773
78	2.2579873275756928
79	2.257920494079599
80	2.2580448818206875
81	2.2578862857818693
82	2.257892150878915
83	2.2578725814819425
84	2.257848787307748
85	2.257901706695566
86	2.258081836700448
87	2.257813596725473
88	2.258115911483773
89	2.257949533462533
90	2.257822637557993
91	2.2579257297515953
92	2.2579372692108244
93	2.2579941654205404
94	2.257877054214486
95	2.2579262065887544
96	2.2579844665527435
97	2.257985153198251
98	2.257979145050058
99	2.2579058742523284
100	2.2582804584503258
101	2.257798528671273
102	2.257565460205087
103	2.2579268836975186
104	2.257733821868905
105	2.2580148601532075
106	2.258106613159188
107	2.257659406661997
108	2.2580800819397058
109	2.258016309738168
