jackknife_index	O00_1	O00_2	O00_3	O00_4	O00_5	O01_1	O01_2	O01_3	O01_4	O01_5	O10_1	O10_2	O10_3	O10_4	O10_5
0	0.47273139996538066	0.47015942378774783	0.470277983552602	0.4237713727164935	0.4726643206388738	-0.1833575276885842	-0.22662861309034754	-0.2809424002460957	-0.11822946554135627	-0.30941139292846265	1.4368466093995782	0.9038606558607851	0.8229914293375429	2.4589581779076846	0.6897622137711176
1	0.473397511043631	0.4710140467575908	0.4711347589610276	0.4256673502011265	0.4743246367124714	-0.18687539594209207	-0.2292832893075867	-0.2823925772485577	-0.12393701734189351	-0.31280166842827833	1.4170727675380552	0.8852628952351514	0.8146449299687718	2.4163993144167946	0.6519812610539011
2	0.47313126546875967	0.4706546685396621	0.4706438989504825	0.4246958250357282	0.4736004505548546	-0.18119293331500946	-0.2260035976245377	-0.28206241857960035	-0.11926776416155105	-0.3112129306344143	1.432784486525521	0.8977815974133125	0.8208923710014298	2.4578839059347937	0.6722825851249628
3	0.4727047711075979	0.4700414043451474	0.47036557442005983	0.4246235355382532	0.4729339287276252	-0.1832348280967868	-0.22756173090079845	-0.28356395688839464	-0.12212935322585468	-0.31284112966202643	1.4194882287098516	0.9017964846939158	0.8336847797322783	2.3980825008228566	0.6705744445258335
4	0.4737942752544383	0.47159512761262695	0.4723098640732213	0.42776989993631764	0.47697598741167996	-0.18987589491890078	-0.23000643053061448	-0.2852110207813496	-0.12804907048453745	-0.31776921944660846	1.3725134244015813	0.8229675244910213	0.7234600521738488	2.3227365679851166	0.4974074112344417
5	0.4729726697661924	0.47038659377387965	0.4704954703731324	0.4243921585503178	0.4729270689876975	-0.18698856904655503	-0.22883213768620211	-0.282427220028079	-0.1210399802540481	-0.3105133265847168	1.4084763191377525	0.8899707348668608	0.8244778678150172	2.435831129193955	0.6942804614934002
6	0.47375790859481953	0.4712612998751231	0.47140548681759353	0.4230290262006592	0.47205243477042536	-0.19976186121809864	-0.23595549660127565	-0.2884289684840092	-0.11804184981671348	-0.30919825781633087	1.3706489352588924	0.8381908869030544	0.7745909325870177	2.471262289375375	0.6665417946520631
7	0.47321657188286637	0.4703198449469395	0.4702018408075653	0.42565771796087526	0.47271693286894956	-0.18932130616307097	-0.22792269575669907	-0.28119448501719746	-0.1251926487473053	-0.31099502210499397	1.400401238912102	0.8845282839917015	0.8179841669146116	2.395308604385651	0.6476473153443687
8	0.47315173073073313	0.4704830080569885	0.4707045524830208	0.4244162827135103	0.47220270712603896	-0.18372183403315673	-0.22586421388611222	-0.28061135412271493	-0.11799919868501021	-0.3063637433783838	1.4086028111470672	0.8840624099606902	0.7940724558649295	2.4436149017605078	0.7127914536575255
9	0.4725909239034139	0.4698334654542165	0.46958620151729874	0.4239728816181128	0.47204041764758087	-0.18126145555810752	-0.22386397931857305	-0.27701472653505715	-0.12003650227605805	-0.3074055591121629	1.4289731538328958	0.9078539413648348	0.8342237700356702	2.429148093918784	0.6915716358681415
