index value uncertainty
0 3.0141143842e+00 2.4581469983e-03
1 1.1084387385e+00 1.2380317849e-03
2 1.1331488419e+00 1.5033462102e-03
3 1.1549841951e+00 2.0497723393e-03
4 1.1774267444e+00 2.6112993284e-03
5 1.1981378115e+00 3.3315362922e-03
6 1.2193221854e+00 3.9277112039e-03
7 3.5675547065e+00 1.0266861678e-02
8 1.5255256297e+00 6.9776831108e-02
9 1.5083141264e+00 4.8408209064e-02
10 1.4521298491e+00 4.5402419986e-02
11 1.4691420127e+00 4.0164885090e-02
12 1.5176379120e+00 3.4429240685e-02
13 1.5344533645e+00 3.2681973763e-02
14 5.5340000000e-01 8.9000000000e-03
15 4.1700000000e-01 6.9000000000e-02
16 3.7500000000e-01 4.7000000000e-02
17 2.9700000000e-01 4.4000000000e-02
18 2.9200000000e-01 3.8000000000e-02
19 3.2000000000e-01 3.2000000000e-02
20 3.1500000000e-01 3.0000000000e-02
