jackknife_index	O00_1	O00_2	O00_3	O00_4	O00_5	O01_1	O01_2	O01_3	O01_4	O01_5	O10_1	O10_2	O10_3	O10_4	O10_5
0	0.32973009918943275	0.3209638948368704	0.3127997129836992	0.31150314062978524	0.3012312080921664	-0.04879865750643852	-0.05875004566612582	-0.06933481524991841	-0.06581193814535641	-0.07822285849915613	0.5840426376045872	0.5573296930100217	0.5192245718003261	0.6479875051561215	0.552738672213859
1	0.32985379505588835	0.3211834056059525	0.31327109217063176	0.3119224984024444	0.30187589830942463	-0.04395917584283967	-0.0561174987205925	-0.06804726122548065	-0.06490920832750437	-0.0788885372599306	0.5780179043920104	0.5492731354234527	0.5080424289880008	0.6372872414943199	0.5396780827735004
2	0.32947346436257474	0.3207334211145246	0.3126463984018694	0.31089710100190543	0.30084940789051806	-0.03511306236053767	-0.048489868755189944	-0.061236617438520866	-0.05976731146868922	-0.07287517815479574	0.5848903069373518	0.5574967887738209	0.5195819250579644	0.6566082257205355	0.5594256959006064
3	0.32909282927107986	0.3204366501740379	0.312452976049471	0.31006090048084045	0.30052879546393757	-0.0449643696291772	-0.0567374550783408	-0.06873419528104358	-0.06312158856216382	-0.07748415500241025	0.5918256316874013	0.5627386791986296	0.5219558230020638	0.6552850561666911	0.5558684024329685
4	0.32844617483954214	0.3195492367552522	0.3112820560326995	0.3097829104649154	0.299401319304562	-0.039406056074329246	-0.05018391416323178	-0.06301787882713808	-0.06085929465077554	-0.07338385487829512	0.5804424806485498	0.5518087018734207	0.5127965115671117	0.6232517181993295	0.5375757683946536
5	0.32894915975371086	0.3201395989914866	0.31200841796587014	0.31066814289934735	0.30042654460036033	-0.0402990851585486	-0.052782675763479704	-0.06503681138151912	-0.06484999505059826	-0.07680385806427055	0.5854169905184874	0.5563280882675905	0.5139792692037755	0.6329905866812766	0.5415341951098155
6	0.3289801670561108	0.32028768073803204	0.3122502302218534	0.3106114414567209	0.30060401170520984	-0.037257303412819714	-0.05039769229325271	-0.06300106068310159	-0.06093867344378565	-0.07407639920155362	0.5939109611932698	0.566726181541827	0.5283463709312846	0.6555721718743858	0.5637314535804051
7	0.32918425483827846	0.3204374060571216	0.3123588001650911	0.3108122849691178	0.30075467767103503	-0.04640322851822636	-0.05668791482403793	-0.0674397566525419	-0.06562017076222927	-0.07798381224162627	0.5906408835993896	0.562877346948791	0.5242064106251599	0.6566396201559169	0.5577190639123154
8	0.3287099201278327	0.3199319416585295	0.3118256803081127	0.31035672185186236	0.30023933419344695	-0.0385998653621384	-0.051076523308535314	-0.0632966705928328	-0.060779781784675864	-0.07481284111489239	0.5922614673841988	0.5654068634460419	0.5262740562312772	0.656038273532627	0.565197653805516
9	0.32967680669823285	0.320982453434916	0.3131146639092646	0.3115848254119004	0.30171534852631404	-0.03705270334131114	-0.050247322151722645	-0.06214112782371239	-0.05963889346194888	-0.07358901928626921	0.58617646872342	0.5597330303006783	0.5218964538033851	0.6533630474703983	0.5560854976655515
10	0.32876457737956666	0.3199413034888899	0.3117645907194244	0.3097127384007932	0.29970825274708784	-0.0424892698178542	-0.053693717750820824	-0.06532711032282316	-0.0630528372749957	-0.07557338525301634	0.5912329547300053	0.5658337451676775	0.530151551196381	0.6635904621308141	0.5694249169751188
11	0.3294300173875769	0.3206239743900719	0.31256431530928425	0.31103804752823944	0.30090497305329095	-0.043077093585471536	-0.054598780804089274	-0.06567710071826545	-0.06495276033733662	-0.07693592365593441	0.5892580903708783	0.561342469327195	0.5213123934837879	0.6533254976654657	0.5539660088186327
12	0.32886668937502117	0.3200676678852788	0.3119003428635821	0.3099740184445712	0.29986261210738774	-0.04021214501401615	-0.051993920335019934	-0.06445101010555379	-0.0625856702774289	-0.07520694720539312	0.5831702687758924	0.5543476558757633	0.5138211231080372	0.6460715312221437	0.551067573505601
13	0.32969569847253716	0.3208968433322838	0.3127680324486697	0.3115841793507706	0.3011603113294816	-0.0369125736682577	-0.050220187594057	-0.06252426301002063	-0.062244702955704154	-0.07516164777444606	0.5870510756596394	0.5591388233448347	0.5195169527060185	0.6537599660085319	0.5560878147542149
14	0.32923533776605	0.3204994103167518	0.31240592281630597	0.3105563521930196	0.30069553636286145	-0.044055646017503794	-0.05539639343780669	-0.0669343296191522	-0.06274055914528377	-0.0764487052269848	0.5822760923771448	0.5558857062987865	0.5177796258785229	0.655238835694854	0.5600863116191961
15	0.3282587838248903	0.3194578301410446	0.31125976602824823	0.30996773331448285	0.299606238380145	-0.04464136169835699	-0.05407320799136284	-0.06630017184228977	-0.062159241991771405	-0.07462711724600586	0.5863559323801044	0.5597319679613014	0.5222392022217167	0.6437778644705036	0.5558110409355969
16	0.3292411366790278	0.3204267641457217	0.31226890848407474	0.3109494434926735	0.3006928576336722	-0.0400365763620323	-0.05216877694736297	-0.06460482575457978	-0.06261394517929429	-0.07573026254980819	0.5841939727839037	0.5555520352956651	0.5136120111385133	0.6500892631212309	0.5521350257281674
17	0.32938911258616443	0.320579880405519	0.312492629729225	0.3109285471292764	0.30079053997103367	-0.038366928529997596	-0.05087198074311428	-0.062097069096172484	-0.05918265748273007	-0.0729880467711709	0.5852646042446065	0.5606669971689082	0.5235536253552889	0.6472527907754527	0.5608142586744356
18	0.32921562306366486	0.32042265707179385	0.31227518360154455	0.31091666348734187	0.30073069797769	-0.04107575970570772	-0.05367257409287047	-0.06615851532562768	-0.06382787829445136	-0.07770326735959579	0.5832060692690804	0.5554729754687484	0.5173682207629915	0.6548471494915079	0.5554608819589285
19	0.32928831670352643	0.32055882180341294	0.31248450325351684	0.3110276730095527	0.30084308212504696	-0.038648619784485846	-0.05210100581099666	-0.06458988844752213	-0.06126156310135417	-0.0752995259050551	0.599064519588299	0.571340072401836	0.5322165271743404	0.6715521592396523	0.5731579582449944
20	0.32934038709558766	0.32059877574788354	0.3125076368178756	0.3113317616964667	0.30109699336881485	-0.037892606131772394	-0.05030352264420921	-0.06352578898536741	-0.06130395617038963	-0.07401713697848435	0.5915926703191355	0.5620941633576084	0.5204148803675889	0.6510959700138647	0.5539100808948145
21	0.3283860090887399	0.3196341629671664	0.3115126038026955	0.3096923834327059	0.2997490573909171	-0.045188055806732894	-0.05524125756472435	-0.06731075660246345	-0.06407824231693857	-0.07690347667913228	0.5865570029225963	0.5576735596833434	0.5176790498118375	0.6429197935416644	0.5487884279843374
22	0.3286493376088773	0.31981311280163355	0.3115589376058365	0.3101149334134414	0.29970580795028423	-0.051255795163710385	-0.058782932047779714	-0.06936399425039967	-0.06691183496849237	-0.07786791960558585	0.573539583652393	0.5465481401849965	0.5094835255921047	0.6356619949166514	0.5441465145281249
23	0.32835048732688804	0.3194384265157728	0.3112113734363367	0.3097115756704345	0.29926508367331783	-0.04436152904959042	-0.05379281875530401	-0.06690460374506411	-0.06394953693281477	-0.07660732536069959	0.5904995786269083	0.562845954653066	0.5235088681783556	0.648755267807359	0.5582548166523106
24	0.3289900196127156	0.3202331024484075	0.3121713214281593	0.3105819241841974	0.3004991098882136	-0.0469415498365624	-0.05780110606917618	-0.0691059707988461	-0.06487941527964877	-0.07849592811050321	0.5944687688566084	0.566370974151417	0.526346246208204	0.6599375819562647	0.5630583393627431
25	0.3296180673332493	0.32100124821269116	0.3130849832377502	0.31133977670172935	0.30154728174987877	-0.04117667498761273	-0.0536295647963456	-0.06602514295374551	-0.06331515167366798	-0.07738531516777777	0.5690528156098629	0.5425344167293817	0.5046211972814607	0.6286084953449318	0.5401074480500611
26	0.32940169660803176	0.3206518132827439	0.3125978624127782	0.31073058788693225	0.30072594895514027	-0.037170711473337725	-0.049095287027855365	-0.06085592511240026	-0.056403351383923835	-0.07040739304673713	0.5801950748362098	0.5530333707323409	0.5135343544739666	0.6546321514874291	0.5512917298028996
27	0.32944727820926517	0.3207117652344089	0.3126365415887294	0.310493237581281	0.3006804097660755	-0.044129768279758466	-0.05568115083950478	-0.0670898704845408	-0.06170165547044866	-0.07639697495612939	0.5863294816190924	0.5575445012788341	0.5174134279472081	0.6445251047939362	0.5470961979907495
28	0.3290837001644741	0.3203045589042357	0.3121570772600249	0.3103022274719055	0.3002342426565915	-0.04206026170862758	-0.05379387494093372	-0.0666251402035693	-0.06374513103340859	-0.07690543733095927	0.5835747431948481	0.5548185089886192	0.5166634485441038	0.6553008571928289	0.5543937040798892
29	0.329543642483342	0.32091006184717696	0.3130276045104365	0.3111082135004313	0.3013303012771958	-0.042084649600746385	-0.054309419842939584	-0.06736186853303129	-0.06270556349168198	-0.07736183216417528	0.592250341902637	0.5640555696721042	0.5238136788519696	0.6593284756976874	0.5630310807759685
30	0.32927562435953733	0.3205411183945887	0.3125429331218537	0.3109229743504158	0.30086354321557984	-0.04174939682786144	-0.053540253451524016	-0.06530512435566775	-0.061306799428622175	-0.07553281954757185	0.5908106513720411	0.5640715824305217	0.5254621580168125	0.6657422705386572	0.5668340937317885
31	0.3297102546415351	0.32098498477795434	0.3129419979299099	0.31165520824342247	0.3015052276534897	-0.03930739667256809	-0.0512094053077248	-0.06333526791356478	-0.06103934247520121	-0.07426964727286935	0.5931408112489709	0.5655078983833618	0.5257729382157221	0.6643583015413869	0.564098421368874
32	0.32895706168598166	0.3201190968136517	0.31193037962611836	0.3104161671360916	0.3000105829067767	-0.0499899982791908	-0.05747014452464291	-0.06790299091343728	-0.0658472614075506	-0.07682164382159454	0.5857808384954983	0.5589879550405225	0.5208542286933763	0.655033310271924	0.560381878949864
33	0.32873815360820224	0.31998143772922094	0.31192492241581676	0.3101436687606178	0.3002715827459513	-0.04504651362150192	-0.05546788020227779	-0.06645426804788351	-0.0628423738955163	-0.0757467900380945	0.5852829219764212	0.5553664836745962	0.5138983372744318	0.6355668516208615	0.5397722996714288
