jackknife_index	O00_1	O00_2	O00_3	O00_4	O00_5	O01_1	O01_2	O01_3	O01_4	O01_5	O10_1	O10_2	O10_3	O10_4	O10_5
0	0.8115198784417089	0.7896585323894015	0.7648984597415891	0.7745008090585177	0.7401190539955016	-2.5679677101579523	-1.8474360055386647	-1.3647347347686598	-1.965718454671182	-1.3763864344937284	0.7017600315371538	0.8185109280816247	1.0086009689985305	0.34523510528912293	0.7572920155352778
1	0.8115228995626924	0.7904822928347918	0.7669878803984088	0.7739135294606938	0.7420935316112475	-2.66026199285482	-1.9799478794824703	-1.5154967339730183	-2.0348181107473966	-1.4981858346825283	0.6869112696740616	0.7737793797793986	0.9215472254398879	0.3990282405534818	0.7152728579788572
2	0.809811747506109	0.7880774620334551	0.763926561955903	0.774016149536794	0.7385002424834314	-2.5940496557873307	-1.873648483775063	-1.3987230357530651	-2.0143150325063575	-1.383988528999057	0.8004764851193791	0.9203774391240465	1.1071879045368913	0.49357848013915984	0.9269858027192734
3	0.8068419601734739	0.7851775370720887	0.7612247682683372	0.7675073504552921	0.7341452249204701	-2.5008072069507397	-1.819061691664708	-1.368767215130067	-1.921092514519371	-1.3367287760969184	0.8137030256063278	0.9254505108555671	1.0976546629612676	0.5653710453335623	0.9508850105435653
4	0.8066032629959996	0.7849252296997459	0.760635593626746	0.7698184525790582	0.7351705636301955	-2.557252977941821	-1.8088611828910137	-1.354615868904808	-1.9864732370105243	-1.348446041970293	0.8504251589665159	0.9502653615246828	1.1230050107518412	0.5146799966164496	0.9090922483608301
5	0.8129112320866374	0.7917316131242043	0.7676115411038837	0.7781742721497064	0.7440137587335319	-2.712316324103184	-1.9959830503255942	-1.51236010041175	-2.1262345477879574	-1.532931093313062	0.6350294293581089	0.7378021084535115	0.9247669190778172	0.2814343887839479	0.7072175920791839
6	0.8093300633732179	0.7881888659227191	0.7644796536088108	0.773702077681631	0.7395407540080309	-2.618900217331159	-1.9142490480177947	-1.4490881190437586	-2.032389394288162	-1.4478505777958455	0.7674060146931316	0.8742754861915029	1.0531153330573761	0.3992669258232539	0.8502578272885025
7	0.8116348761364605	0.7909121107756513	0.7678313798463652	0.7733226303081558	0.742710219778581	-2.6173400748377462	-1.9331466701684008	-1.4889177421915234	-1.9705165922684535	-1.469567517615604	0.6713514289902034	0.7534944161273238	0.9044478982340886	0.3220738746076243	0.6516954788249048
8	0.8091848679447927	0.7879197781754086	0.7640885856896292	0.7708036833177678	0.7380182113989893	-2.5321417995223174	-1.8465601461909158	-1.389941722576741	-1.9321032960685671	-1.3727115795110922	0.8473715774035557	0.9532674406896444	1.1347163707747017	0.6237200610113556	0.9546120363119727
9	0.8107047101768677	0.7886157684282687	0.7646159066363054	0.77387333194709	0.739975405016183	-2.6622190717929404	-1.9426695504039428	-1.4254388812866108	-2.035624512943902	-1.414387769266952	0.6603202045933662	0.7799579804970407	0.9653419309112857	0.33205343438555024	0.7470494966584144
10	0.8093181212243881	0.7878637241469446	0.7634752062767484	0.7716075867967941	0.7381335500764691	-2.6640444536940175	-1.9338963998349958	-1.4504224725877954	-2.0168431253101664	-1.4405467323675232	0.7139303126519405	0.8155905819437437	0.9885323372835834	0.4085580704159878	0.7831803161217717
11	0.8133110983432045	0.7922099472653433	0.7685912938046594	0.7748363680039929	0.7425750578452596	-2.851720478195518	-2.0889217351259046	-1.572136291133417	-2.114759042291424	-1.5232812844405972	0.718271910793383	0.8212276624639352	0.9930402405410753	0.4035049600177386	0.7689694701179228
