jackknife_index	O00_1	O00_2	O00_3	O00_4	O00_5	O01_1	O01_2	O01_3	O01_4	O01_5	O10_1	O10_2	O10_3	O10_4	O10_5
0	0.2756155043898534	0.2658289730906226	0.255896535386653	0.25376636043378703	0.24022011490598386	-0.03496251188970298	-0.04132646458405862	-0.045169894440062766	-0.033529753690704614	-0.04630767504044561	0.3603406405222148	0.296257710545575	0.2645295394604208	0.2344945943148744	0.19457552129133127
1	0.27517756756115147	0.2654128910451497	0.2555380628259422	0.25353417366037084	0.23995627299584155	-0.036313670778707674	-0.04150774932694212	-0.044893369445600004	-0.03401289701721006	-0.04588173985503616	0.3670642724673689	0.3009154622013199	0.2660509794188091	0.2255289175270264	0.19599228918774642
2	0.2756776545822489	0.26583471131398406	0.25585679707043674	0.253659310643891	0.23987340304611937	-0.03580287379470798	-0.04148886810476459	-0.04520727197528572	-0.03447996030868885	-0.046672122304014796	0.3667953811747302	0.29986459624247236	0.26364141829577575	0.228121977064315	0.19326226992210585
3	0.27531572008939703	0.26558050334085603	0.2557572728769286	0.2539631321092242	0.24053491169924074	-0.0339096980864358	-0.040458880338481315	-0.04453660431975855	-0.033781011717272144	-0.04631146264621327	0.3595720629046119	0.29534388884008106	0.26211286592462246	0.22756712989047553	0.1903207397799277
4	0.27560480607357224	0.2657931714658054	0.25589771194769734	0.25386027314538046	0.24039810806897963	-0.03184919529022025	-0.03911928771029457	-0.043327229397843114	-0.032114935562837545	-0.04499538086897021	0.36849575878150026	0.30025631191579005	0.26306167942577063	0.2250636580525936	0.18761445398830612
5	0.2754592632244399	0.2657126411812867	0.2559108191164904	0.25387628916650373	0.24047154905679596	-0.03125055772244744	-0.03912551057709755	-0.04376247225036247	-0.032358586137363275	-0.04546943901526424	0.36430622225704634	0.29889541523514973	0.2652780032462893	0.2306253138836038	0.19213101926381884
6	0.27474059343913937	0.2648386858744133	0.25486550289043336	0.25274418016349237	0.23918609633072396	-0.035103316312379715	-0.040863009286884217	-0.04440055021795266	-0.03290115255335921	-0.045419717154687775	0.37012333713991513	0.30454950694747396	0.2704099437066319	0.23403820982805562	0.1946848931740363
7	0.2750594157168751	0.2653677363911569	0.2555159972974063	0.25343852923524934	0.24003764651457543	-0.03614847055189603	-0.04228355054879921	-0.04591166352131399	-0.03433698819860587	-0.047243198709199546	0.3640615596440808	0.2976289344001674	0.2638791440456862	0.22672322389834582	0.19407857736731945
8	0.2750102232769117	0.265262691050716	0.25542663661131154	0.25292911198638757	0.23961285200839832	-0.03389155324352993	-0.03986867066376923	-0.043816929830053586	-0.03256593822080006	-0.0452566349972685	0.3690637732505311	0.30291254207546237	0.26932244501742736	0.23077134714498174	0.1991894552564179
9	0.2750696359981981	0.26520912381051687	0.2552840930123999	0.2529133185511489	0.23956409669761664	-0.03487609100300569	-0.041123246340562865	-0.04490138719276937	-0.033120343061507074	-0.04606934055421831	0.3602761630821312	0.29442537386126527	0.2597063412129472	0.226615969919933	0.18571704898736355
