jackknife_index	O00_1	O00_2	O00_3	O00_4	O00_5	O01_1	O01_2	O01_3	O01_4	O01_5	O10_1	O10_2	O10_3	O10_4	O10_5
0	0.6373777521145437	0.6255639545569418	0.6086650301009826	0.5635606694984752	0.569317194369844	-0.567693457044222	-0.42627177096850816	-0.38029111573888247	-0.22761408653117932	-0.3029609512001846	1.3543939573870456	1.3482580444531849	1.6035099096380074	1.4667056962594098	1.450247402568186
1	0.6364978045086783	0.6246654528859665	0.6076374487196295	0.5631769073593813	0.5687961032492098	-0.5770756875223977	-0.43043927898632894	-0.382216019290912	-0.22927143819763524	-0.30259550136325647	1.3733446182490492	1.3688188373244397	1.6257691071474638	1.4608809694848515	1.45936430866174
2	0.6376123024662927	0.6261574568009733	0.6093814945114499	0.5646171362859438	0.5705021255218727	-0.5649691076653158	-0.42586774351579615	-0.38055524123233875	-0.23156214355598478	-0.30662946270449454	1.396253823411623	1.3678334672885786	1.6104221074656042	1.4418918297403587	1.3897792732295149
3	0.6366752021637537	0.6248998121792756	0.6076858563095641	0.5632653229821578	0.5689128603713663	-0.5720863685648946	-0.42710039246165915	-0.37881410703434576	-0.22864207405988476	-0.30089026734099644	1.3765648247472775	1.37200750043913	1.6421906811148517	1.483303599128046	1.4721618964287713
4	0.6384235069845235	0.6269133333879783	0.610388663640049	0.5663554811587981	0.5716195769683811	-0.5780040519104361	-0.43209408636336255	-0.38504349564002294	-0.23611297148482374	-0.3056901192095759	1.3628885167223088	1.3527884431855435	1.6088955008735777	1.3939417169398034	1.4292512983216077
5	0.637171152836263	0.6257740448636286	0.609270554962873	0.5648269555786608	0.5711965434785026	-0.5692393997389052	-0.42837296627394605	-0.3829498266324701	-0.23015814913734556	-0.3056075867829137	1.3742648264386645	1.3546638070051586	1.6031772225044378	1.4205852295556034	1.3945156190791612
6	0.6365906784602847	0.6249473181779862	0.6080595443048205	0.5640349028915683	0.5694900555376161	-0.5829296443092946	-0.43525306814198206	-0.38662766681933436	-0.23795037396183585	-0.30864227571633857	1.3456728790191272	1.32722022367824	1.5830956913152279	1.3851166303083255	1.3810086237892851
7	0.6363596613088045	0.624995465612359	0.6086855569691926	0.563381881197068	0.5694827519273213	-0.581868948111976	-0.4365878555430948	-0.3895633644882549	-0.23352109641276486	-0.3089157358841992	1.3391560988106235	1.318829842127836	1.5594348173735861	1.3759090677917316	1.3758284975750839
8	0.6370657510095584	0.6255665116518061	0.6087318380381298	0.563595732167058	0.5694731015352884	-0.572737425681465	-0.4293332377548469	-0.38232168473765926	-0.22960452659166053	-0.30512449918164053	1.3496059501458952	1.3280253547527177	1.58471107194437	1.4059807986671788	1.402351127374509
9	0.6368717181884763	0.625049279017196	0.6081538105950715	0.563322895492122	0.5694222935382968	-0.5788472607653701	-0.43282590365932283	-0.3852598687627732	-0.2329696631440717	-0.3064790875675706	1.3490222907682128	1.3334961153477565	1.57719989145453	1.4203523155590894	1.3773798997601734
10	0.6359560885494723	0.624207529463511	0.607244078170949	0.5622789993843991	0.5679876036835843	-0.5697904607695462	-0.4264755408183868	-0.37980606635716674	-0.22831029789308355	-0.3005556639353695	1.3764434050605514	1.3725548607658706	1.6390549554453222	1.482550062260299	1.4989261910929126
11	0.6364561832568516	0.6246557057489637	0.6076931999179503	0.5639877970529625	0.5689836232598301	-0.5775367420774357	-0.4324197816973496	-0.3842264661003178	-0.23475030418870835	-0.3065964139059936	1.3410167118364105	1.3427638691884738	1.6043718954975152	1.3940455011554018	1.4473712749960206
12	0.6366023883211298	0.6246904690386407	0.607411197626285	0.5630124471134973	0.5685662137836178	-0.5744721840363584	-0.42895498372672736	-0.38008780341915493	-0.2299726775023957	-0.3029126616996011	1.3697598969918299	1.3647431380926056	1.6285029796085655	1.460161449424315	1.4620478623765714
13	0.6375668533842394	0.6258664786060989	0.6087418553812264	0.5638371867385393	0.5692101121849987	-0.5808843452986815	-0.4336570284197685	-0.38465957736256573	-0.2313423091132708	-0.3043342637617105	1.3575244679367877	1.3495796078536102	1.6074755518226598	1.447909149178182	1.4609354283398266
